ID;loan_amnt;term;int_rate;installment;emp_length;home_ownership;annual_inc;purpose;title;STATE;delinq_2yrs;revol_bal; revol_util ;total_pymnt;loan_status
10834;25000; 60 months;19.69%;658.05;6 years;RENT;50000;small_business;Small Business Loan;NC;0;14345; 0.833 ;14477.1;Charged Off
10835;5500; 36 months;5.99%;167.3;n/a;MORTGAGE;45000;small_business;my future;MA;0;6958; 0.600 ;1199.25;Charged Off
10836;8500; 36 months;10.99%;278.24;10+ years;MORTGAGE;54000;debt_consolidation;quality;PA;0;29197; 0.472 ;9979.172037;Fully Paid
10837;9000; 36 months;5.42%;271.44;< 1 year;MORTGAGE;30000;small_business;Business loan for a property purchase;NY;0;6644; 0.475 ;9754.536567;Fully Paid
10838;5000; 36 months;12.99%;168.45;3 years;RENT;71400;moving;Need new furniture;MA;0;4351; 0.763 ;6064.010966;Fully Paid
10839;11000; 36 months;15.99%;386.68;1 year;RENT;97500;debt_consolidation;Credit Card Consolidation;TX;0;23597; 0.987 ;13920.16198;Fully Paid
10840;5000; 36 months;6.99%;154.37;4 years;MORTGAGE;97000;credit_card;ADS Cr Card Ln;GA;0;37405; 0.151 ;5279.634464;Fully Paid
10841;3200; 36 months;13.49%;108.58;< 1 year;RENT;31200;debt_consolidation;Improvement;TX;2;0; -   ;3672.873034;Fully Paid
10842;1000; 36 months;13.49%;33.94;9 years;RENT;50000;other;Jul-11;GA;6;531; 0.442 ;1217.70623;Fully Paid
10843;20000; 60 months;20.62%;536.81;10+ years;RENT;60000;small_business;Small Business Loan;NC;2;491; 0.491 ;4937.16;Charged Off
10844;35000; 60 months;20.62%;939.41;8 years;MORTGAGE;150000;debt_consolidation;House;GA;1;75931; 0.758 ;47283.82056;Fully Paid
10846;6000; 60 months;15.99%;145.88;< 1 year;MORTGAGE;72500;car;Motorcycle Loan;NJ;3;11033; 0.293 ;8757.903744;Fully Paid
10847;35000; 60 months;19.69%;921.26;8 years;RENT;75000;debt_consolidation;Debt Consolidation Loan;CA;0;36167; 0.790 ;51012.2269;Fully Paid
10848;4200; 36 months;10.59%;136.69;6 years;RENT;48000;debt_consolidation;Pay off auto loan;TX;0;2037; 0.815 ;4936.974944;Fully Paid
10849;25000; 60 months;15.23%;597.78;10+ years;MORTGAGE;165000;debt_consolidation;personal laon;PA;0;55961; 0.614 ;33976.59756;Fully Paid
10850;30000; 60 months;12.99%;682.44;5 years;MORTGAGE;80000;other;Other Loan;SD;0;716; 0.038 ;36636.2903;Fully Paid
10852;3000; 36 months;11.49%;98.92;2 years;RENT;60000;wedding;Wedding Loan;MA;1;2587; 0.249 ;3319.114477;Fully Paid
10853;10000; 36 months;16.89%;355.99;1 year;RENT;48720;debt_consolidation;pay all credit  card;CT;0;7301; 0.533 ;12815.17832;Fully Paid
10854;4800; 36 months;10.99%;157.13;10+ years;MORTGAGE;45336;home_improvement;Landscaping;AZ;0;2072; 0.391 ;5336.248356;Fully Paid
10855;8000; 36 months;10.59%;260.36;10+ years;MORTGAGE;44000;debt_consolidation;Debt Consolidation Loan;SD;2;5014; 0.389 ;8517.103164;Fully Paid
10856;4750; 36 months;15.23%;165.2;1 year;OWN;21600;debt_consolidation;Personal Financial Clearing;CA;0;3920; 0.769 ;5891.330625;Fully Paid
10857;26500; 60 months;20.99%;716.77;6 years;RENT;51312;debt_consolidation;Debt Consolidation;CA;0;29412; 0.974 ;36924.99779;Fully Paid
10858;6075; 36 months;13.49%;206.13;2 years;MORTGAGE;35000;debt_consolidation;Debt Consolidation Loan;FL;0;9188; 0.967 ;7340.846443;Fully Paid
10859;8800; 36 months;7.49%;273.7;3 years;MORTGAGE;64000;credit_card;Credit Card Refinance;PA;0;15524; 0.353 ;9723.897362;Fully Paid
10861;8800; 36 months;8.49%;277.76;n/a;MORTGAGE;83000;debt_consolidation;Credit Card Payoff;FL;0;115326; 0.498 ;9999.0968;Fully Paid
10862;30000; 60 months;19.29%;783.02;10+ years;MORTGAGE;64800;debt_consolidation;EJM Debt Consol Loan 2011;WV;0;21892; 0.514 ;43155.06073;Fully Paid
10863;17000; 60 months;20.25%;452.77;10+ years;MORTGAGE;100650;debt_consolidation;Debt Consolidation;NC;0;20863; 0.755 ;6726.14;Charged Off
10864;3600; 36 months;5.99%;109.51;10+ years;MORTGAGE;60000;credit_card;Credit Card Payoff Loan;CA;0;9337; 0.179 ;3942.071469;Fully Paid
10865;1000; 36 months;15.99%;35.16;< 1 year;MORTGAGE;27000;other;Home responsibilities;MD;1;202; 0.505 ;1167.83;Charged Off
10867;5000; 36 months;5.99%;152.09;6 years;RENT;45000;moving;Moving Loan;NJ;0;3132; 0.151 ;1517.95;Charged Off
10868;16000; 60 months;11.99%;355.84;5 years;RENT;56000;debt_consolidation;Credit Card Consolidation;CA;0;26238; 0.728 ;21122.19171;Fully Paid
10870;8000; 36 months;5.42%;241.28;10+ years;MORTGAGE;21600;major_purchase;houseboat;PA;0;1943; 0.058 ;8686.02817;Fully Paid
10871;4000; 36 months;18.39%;145.4;7 years;OWN;68400;debt_consolidation;Debt Consolidation;FL;0;35410; 0.797 ;872.4;Charged Off
10872;18000; 36 months;11.49%;593.49;9 years;RENT;80000;;;;;;;;Fully Paid
10873;14125; 60 months;22.11%;391.01;1 year;RENT;28800;moving;Moving Loan;NC;0;9733; 0.861 ;1173.03;Charged Off
10874;10000; 36 months;5.99%;304.18;1 year;MORTGAGE;57240;major_purchase;4 my Bike;VA;0;5759; 0.114 ;10581.28858;Fully Paid
10876;15000; 36 months;10.59%;488.18;10+ years;RENT;47881.47;credit_card;Payoff;VA;0;14206; 0.676 ;16951.05804;Fully Paid
10877;15000; 36 months;8.49%;473.45;2 years;RENT;58000;credit_card;Project Debt Free!;NY;0;7922; 0.231 ;17043.93699;Fully Paid
10878;18200; 60 months;11.49%;400.18;6 years;MORTGAGE;42000;small_business;Small Business Loan;OH;0;15100; 0.418 ;23953.4;Fully Paid
10880;18000; 36 months;8.49%;568.14;10+ years;MORTGAGE;83000;debt_consolidation;High score debt consolidation;NC;0;17431; 0.248 ;19928.77174;Fully Paid
10881;4000; 36 months;15.62%;139.88;7 years;MORTGAGE;72000;major_purchase;RIP Civic;MA;2;44982; 0.379 ;4294.953956;Fully Paid
10883;12000; 36 months;7.49%;373.22;10+ years;RENT;48609.6;debt_consolidation;Consolidate;CA;0;12618; 0.374 ;12719.57007;Fully Paid
10885;15000; 36 months;15.23%;521.68;7 years;MORTGAGE;38400;small_business;obtaining a commerical vehicle;AR;1;1960; 0.817 ;18760.5504;Fully Paid
10889;15000; 60 months;18.79%;387.38;< 1 year;MORTGAGE;45000;debt_consolidation;Debt Consolidation;IL;0;9252; 0.376 ;21882.8216;Fully Paid
10890;20000; 60 months;13.49%;460.1;8 years;RENT;105000;;;;;;;;Fully Paid
10891;6000; 36 months;11.99%;199.26;10+ years;RENT;60000;debt_consolidation;Credit Card Consolidation;NY;0;6010; 0.589 ;7173.239531;Fully Paid
10892;12000; 60 months;18.39%;307.28;10+ years;MORTGAGE;35700;home_improvement;Dream Fund;CA;0;2325; 0.375 ;17096.1827;Fully Paid
10893;20400; 60 months;15.99%;495.98;3 years;MORTGAGE;160680;home_improvement;home improvement;CA;0;5034; 0.307 ;27241.0116;Fully Paid
10894;5700; 36 months;9.99%;183.9;< 1 year;RENT;53000;small_business;Small Business Loan;CA;0;12313; 0.560 ;6466.834576;Fully Paid
10895;2400; 36 months;10.99%;78.57;5 years;RENT;43000;debt_consolidation;Please help me out of the quicksand;UT;0;4935; 0.676 ;2700.369502;Fully Paid
10897;2650; 36 months;7.49%;82.42;10+ years;MORTGAGE;47000;wedding;last min.wedding costs for daughter;CA;0;4431; 0.498 ;2966.581092;Fully Paid
10898;3500; 36 months;6.99%;108.06;8 years;MORTGAGE;72000;home_improvement;Pool Loan;NY;0;17421; 0.476 ;3520.8;Fully Paid
10899;6000; 36 months;10.59%;195.27;2 years;RENT;35004;debt_consolidation;Debt Consolidation Loan;NJ;0;17392; 0.817 ;6998.191901;Fully Paid
10901;2000; 36 months;14.79%;69.13;2 years;RENT;50000;other;Back to the Future;PA;0;5053; 0.665 ;2471.569556;Fully Paid
10902;2100; 36 months;11.99%;69.75;6 years;OWN;113400;car;Hyundai;NY;1;15050; 0.523 ;2510.570202;Fully Paid
10905;5000; 36 months;8.49%;157.82;2 years;MORTGAGE;48000;other;Consolidation loan;KY;0;2136; 0.225 ;5669.222998;Fully Paid
10906;6400; 36 months;7.49%;199.06;10+ years;MORTGAGE;103000;other;TSP Payment;CA;0;2482; 0.169 ;7153.512261;Fully Paid
10907;14400; 60 months;16.49%;353.95;3 years;MORTGAGE;65996;debt_consolidation;Debt Consolidation Loan;FL;1;7023; 0.491 ;19390.79144;Fully Paid
10909;3000; 36 months;7.49%;93.31;1 year;RENT;17520;credit_card;Credit Card Refinancing;TX;0;3748; 0.195 ;3121.2;Fully Paid
10910;2400; 36 months;11.99%;79.71;10+ years;RENT;70000;other;Other Loan;NY;0;18400; 0.582 ;2869.25339;Fully Paid
10913;1600; 36 months;15.62%;55.96;7 years;RENT;57000;other;Rent;MO;0;18889; 0.989 ;727.48;Charged Off
10914;10000; 36 months;13.49%;339.31;2 years;RENT;48000;debt_consolidation;Consolidation;CO;0;4293; 0.482 ;11975.2136;Fully Paid
10915;18000; 36 months;6.99%;555.71;1 year;MORTGAGE;153600;moving;Relocation;HI;0;2700; 0.031 ;20005.37829;Fully Paid
10916;5000; 36 months;15.62%;174.85;3 years;MORTGAGE;165000;home_improvement;home improvement;CA;0;1821; 0.136 ;5973.81762;Fully Paid
10918;8000; 36 months;8.49%;252.51;1 year;MORTGAGE;115000;other;Personal Loan;NY;0;15384; 0.567 ;9090.083603;Fully Paid
10919;6000; 36 months;5.42%;180.96;10+ years;MORTGAGE;96000;credit_card;Credit Card Consolidation;CA;0;21209; 0.449 ;6514.521804;Fully Paid
10920;1500; 60 months;16.49%;36.87;< 1 year;RENT;26004;other;Repairs;TX;0;343; 0.181 ;2111.15;Charged Off
10921;9000; 36 months;5.99%;273.76;2 years;OWN;61425;credit_card;Debt Consolidation Loan;CA;0;12673; 0.484 ;9855.22863;Fully Paid
10922;6000; 36 months;5.99%;182.51;10+ years;MORTGAGE;27012;debt_consolidation;Debt Consolidation Loan;WA;0;7030; 0.220 ;4526.17;Charged Off
10924;15000; 60 months;15.99%;364.7;4 years;MORTGAGE;50000;debt_consolidation;Debt Consolidation;NJ;0;278; 0.022 ;19662.27189;Fully Paid
10926;6000; 36 months;11.99%;199.26;1 year;RENT;40000;wedding;Wedding Loan;MO;0;4394; 0.499 ;6993.046502;Fully Paid
10927;5125; 36 months;8.49%;161.76;10+ years;MORTGAGE;63500;debt_consolidation;Debt Consolidation;OR;0;14776; 0.704 ;5500.113255;Fully Paid
10929;15000; 36 months;12.99%;505.34;10+ years;MORTGAGE;77927;debt_consolidation;Consolidate Credit Card Debt;KS;0;12289; 0.482 ;17228.71874;Fully Paid
10931;16000; 60 months;16.89%;396.7;< 1 year;RENT;55000;debt_consolidation;Debt consolidation;NJ;0;24228; 0.564 ;5167.26;Charged Off
10934;12000; 60 months;18.79%;309.91;10+ years;MORTGAGE;68148;other;Mine;FL;1;11343; 0.597 ;18593.77927;Fully Paid
10935;2250; 36 months;15.62%;78.69;3 years;MORTGAGE;27600;debt_consolidation;Debt Consolidation Loan;NV;0;13294; 0.870 ;472.14;Charged Off
10936;35000; 60 months;15.23%;836.88;10+ years;MORTGAGE;150000;debt_consolidation;Final DC;CA;0;111796; 0.323 ;48175.56418;Fully Paid
10937;6000; 36 months;12.99%;202.14;1 year;RENT;48000;medical;Future ;NC;0;615; 0.034 ;2120.12;Charged Off
10938;20000; 60 months;11.99%;444.79;10+ years;MORTGAGE;51000;debt_consolidation;W8TN4CHG;VA;0;4261; 0.463 ;8006.22;Charged Off
10939;9525; 60 months;19.69%;250.72;7 years;RENT;55992;debt_consolidation;5 year plan;MI;0;40174; 0.960 ;2266.25;Charged Off
10940;4450; 36 months;11.49%;146.73;5 years;RENT;33600;medical;Medical;CO;0;541; 0.071 ;5281.940869;Fully Paid
10941;22000; 60 months;13.99%;511.79;6 years;MORTGAGE;61000;home_improvement;New Pool and Landscaping;AL;0;848; 0.101 ;30151.04998;Fully Paid
10942;35000; 60 months;16.49%;860.28;< 1 year;RENT;69000;debt_consolidation;Debt Consolidation;NJ;0;12028; 0.841 ;12990.22;Charged Off
10944;3500; 36 months;10.59%;113.91;3 years;RENT;45000;debt_consolidation;Trying to Get out of Debt!;CA;0;3821; 0.242 ;4090.765839;Fully Paid
10946;7000; 36 months;10.59%;227.82;6 years;MORTGAGE;73000;major_purchase;boat loan;NY;0;2804; 0.298 ;7238.320963;Fully Paid
10947;1800; 36 months;10.59%;58.59;4 years;RENT;35000;car;Car Loan;NC;0;641; 0.427 ;1816.4;Fully Paid
10948;4000; 60 months;18.39%;102.43;1 year;RENT;24996;other;Home improvment;NC;0;2408; 0.463 ;5954.49;Fully Paid
10949;35000; 60 months;12.99%;796.18;5 years;MORTGAGE;65000;;;;;;;;Charged Off
10951;3000; 36 months;6.99%;92.62;4 years;MORTGAGE;80000;wedding;Wedding Loan;WI;0;8344; 0.745 ;3098.34268;Fully Paid
10952;3200; 36 months;9.99%;103.24;10+ years;MORTGAGE;69996;other;Eye surgury;TX;0;0; -   ;3708.185339;Fully Paid
10953;21000; 60 months;14.79%;497.28;10+ years;MORTGAGE;100000;small_business;Small Business Loan;IL;0;17674; 0.482 ;22748.77526;Fully Paid
10954;8275; 36 months;16.49%;292.94;5 years;MORTGAGE;155000;debt_consolidation;debt consolidation;TX;0;17280; 0.729 ;5343.59;Charged Off
10955;12000; 36 months;16.49%;424.8;6 years;RENT;130000;credit_card;loan1;NV;0;17793; 0.791 ;15286.73447;Fully Paid
10956;6500; 36 months;15.62%;227.31;4 years;RENT;84000;credit_card;Credit Card Refinance;VA;1;6333; 0.728 ;8139.79866;Fully Paid
10957;3600; 36 months;11.99%;119.56;4 years;RENT;39500;debt_consolidation;Debt Consolidation;NY;1;6146; 0.923 ;4300.700775;Fully Paid
10958;14000; 60 months;18.79%;361.56;10+ years;MORTGAGE;79000;debt_consolidation;debt free soon;SC;2;17707; 0.881 ;6443.23;Charged Off
10960;20000; 60 months;21.74%;490.37;10+ years;MORTGAGE;82812;home_improvement;HOME IMPROVEMENT LOAN;HI;1;9840; 0.841 ;27626.12804;Fully Paid
10961;8000; 36 months;12.99%;269.52;4 years;MORTGAGE;90000;home_improvement;Finishing Remodel;CA;0;11753; 0.361 ;9373.184784;Fully Paid
10962;8000; 60 months;13.49%;184.04;3 years;RENT;72000;major_purchase;Piano Loan;NY;0;1416; 0.236 ;10013.49067;Fully Paid
10965;4200; 60 months;15.99%;102.12;1 year;RENT;15600;other;Moving expenses;IL;0;5030; 0.585 ;5956.870009;Fully Paid
10966;27200; 60 months;20.62%;730.05;4 years;MORTGAGE;195000;major_purchase;Home Update;MA;0;51300; 0.563 ;5140.77;Charged Off
10967;16000; 36 months;15.99%;562.44;3 years;MORTGAGE;150000;other;IRS TAXES LOAN;TX;0;9950; 0.721 ;20138.54956;Fully Paid
10968;5600; 36 months;7.49%;174.17;5 years;MORTGAGE;60000;major_purchase;Wedding;PA;0;3225; 0.198 ;6270.083948;Fully Paid
10969;6000; 36 months;15.99%;210.92;< 1 year;MORTGAGE;95000;home_improvement;Home Improvement Loan;CT;0;10464; 0.465 ;7592.779936;Fully Paid
10970;35000; 60 months;16.89%;867.78;10+ years;MORTGAGE;90000;debt_consolidation;Debt Consolidation Loan;TX;0;32513; 0.562 ;10473.42;Charged Off
10973;7000; 36 months;11.99%;232.47;1 year;RENT;48000;debt_consolidation;Credit Card Payoff;CA;0;11542; 0.916 ;8245.446777;Fully Paid
10974;20000; 60 months;12.99%;454.96;4 years;MORTGAGE;105000;home_improvement;Home Improvement;TX;0;15232; 0.575 ;25250.61301;Fully Paid
10975;10000; 36 months;10.99%;327.34;< 1 year;OWN;70000;debt_consolidation;Help Paying off Credit Cards -;NY;0;11620; 0.351 ;11784.23223;Fully Paid
10976;16000; 60 months;11.49%;351.81;2 years;MORTGAGE;75000;debt_consolidation;Credit Car Loan;MI;0;14687; 0.408 ;18793.09414;Fully Paid
10978;12000; 60 months;11.49%;263.86;3 years;RENT;53060;other;Consolidation;TX;0;10655; 0.288 ;15076.19937;Fully Paid
10979;5000; 36 months;5.42%;150.8;2 years;MORTGAGE;103000;debt_consolidation;Credit Card Payoff;CA;0;13482; 0.183 ;5418.657931;Fully Paid
10980;2000; 36 months;5.99%;60.84;< 1 year;RENT;86000;debt_consolidation;Credit Card Debt Payment;VA;0;5355; 0.259 ;2140.061337;Fully Paid
10981;8000; 36 months;6.99%;246.99;10+ years;MORTGAGE;100000;debt_consolidation;Debt Consolidation;LA;0;4618; 0.382 ;8891.248716;Fully Paid
10982;12000; 36 months;5.42%;361.92;< 1 year;MORTGAGE;117960;wedding;Website Launch;CA;0;9640; 0.643 ;12716.03424;Fully Paid
10984;12000; 36 months;8.49%;378.76;6 years;RENT;54000;debt_consolidation;Debt Consolidation;NJ;0;13602; 0.386 ;12850.83947;Fully Paid
10986;5600; 36 months;7.49%;174.17;6 years;MORTGAGE;49200;credit_card;Credit Card Interest Rate Is a Money Pit;MD;0;12684; 0.694 ;6270.083949;Fully Paid
10988;7000; 36 months;10.59%;227.82;< 1 year;MORTGAGE;110000;debt_consolidation;DEBT CONSOLIDATION - SEPARATION;NC;0;5545; 0.560 ;1797.97;Charged Off
10989;2000; 60 months;11.49%;43.98;10+ years;MORTGAGE;80400;other;Family Obligation Travel;NJ;1;4704; 0.278 ;2521.998844;Fully Paid
10990;35000; 60 months;13.49%;805.17;4 years;MORTGAGE;137400;wedding;Wedding expenses;MD;0;4782; 0.182 ;46387.63357;Fully Paid
10991;6000; 36 months;14.79%;207.38;8 years;RENT;37008;debt_consolidation;Student Loan payoff;OH;0;6343; 0.447 ;7333.295178;Fully Paid
10992;30000; 60 months;19.29%;783.02;4 years;OWN;38400;home_improvement;Home stuff;NY;0;6595; 0.446 ;46972.50994;Fully Paid
10993;2400; 36 months;15.23%;83.47;1 year;RENT;21600;small_business;Community Center;UT;0;1238; 0.213 ;618.15;Charged Off
10998;25000; 60 months;19.69%;658.05;6 years;MORTGAGE;90000;debt_consolidation;Debt And Credit Card Reduction;FL;0;13419; 0.624 ;5417.56;Charged Off
10999;12000; 60 months;11.99%;266.88;10+ years;MORTGAGE;60000;debt_consolidation;Home Loan-Credit Card Consolidation;FL;0;929; 0.026 ;5102.45;Charged Off
11000;10000; 60 months;11.49%;219.88;10+ years;MORTGAGE;39000;other;Swap this loan for another loan same amt;NY;0;3832; 0.115 ;11881.67883;Fully Paid
11001;14000; 60 months;11.49%;307.83;10+ years;MORTGAGE;40056.64;debt_consolidation;Debt Consolidation Loan;FL;0;7880; 0.121 ;6464.43;Charged Off
11003;9600; 36 months;7.49%;298.58;7 years;MORTGAGE;44460;credit_card;Credit Card loan;VA;0;12990; 0.505 ;10748.70327;Fully Paid
11006;8500; 36 months;7.49%;264.37;10+ years;RENT;54000;debt_consolidation;lower debt;OH;0;4212; 0.319 ;9517.071339;Fully Paid
11007;24000; 36 months;11.49%;791.32;3 years;MORTGAGE;92000;debt_consolidation;My Loan;WA;0;33895; 0.657 ;28487.09332;Fully Paid
11009;6950; 60 months;10.99%;151.08;5 years;MORTGAGE;35004;debt_consolidation;Debt buster;IL;0;18499; 0.619 ;3928.08;Charged Off
11010;5900; 36 months;7.49%;183.5;1 year;OWN;15600;debt_consolidation;2nd Chance;NC;0;941; 0.336 ;4694.2;Charged Off
11011;13325; 60 months;16.89%;330.38;n/a;RENT;42000;debt_consolidation;Debt Consolidation;CA;0;10618; 0.809 ;19822.14999;Fully Paid
11013;2500; 36 months;5.42%;75.4;4 years;MORTGAGE;49200;car;Suburban;GA;0;845; 0.098 ;2711.008845;Fully Paid
11015;15900; 36 months;13.49%;539.5;3 years;RENT;104000;debt_consolidation;Payoff High Interest Debt;FL;0;30423; 0.714 ;18697.2009;Fully Paid
11016;6900; 36 months;9.99%;222.62;5 years;RENT;28000;major_purchase;Trees;HI;0;2083; 0.463 ;7121.628232;Fully Paid
11017;10000; 36 months;7.49%;311.02;6 years;MORTGAGE;79700;debt_consolidation;Debt Consolidation;CA;0;21555; 0.567 ;10911.22309;Fully Paid
11018;11200; 36 months;11.49%;369.28;7 years;MORTGAGE;100000;home_improvement;SPFL;CA;0;6473; 0.502 ;13293.99487;Fully Paid
11019;5000; 60 months;13.99%;116.32;2 years;MORTGAGE;36996;debt_consolidation;Debt consolidation;NC;1;1073; 0.092 ;338.71;Charged Off
11021;26000; 60 months;15.99%;632.14;10+ years;MORTGAGE;83100;debt_consolidation;consolidation;WI;0;20145; 0.515 ;33155.13937;Fully Paid
11022;5000; 36 months;8.49%;157.82;n/a;RENT;19140;debt_consolidation;consolidation;PA;0;4941; 0.408 ;5681.296206;Fully Paid
11023;30000; 60 months;18.79%;774.76;10+ years;MORTGAGE;70000;home_improvement;Home;NM;0;47760; 0.656 ;41677.35725;Fully Paid
11024;20000; 36 months;14.79%;691.26;1 year;MORTGAGE;92000;debt_consolidation;Debt Consolidation;CA;0;20756; 0.899 ;24446.53536;Fully Paid
11025;4200; 36 months;8.49%;132.57;4 years;RENT;60000;major_purchase;Personal;NJ;0;4941; 0.484 ;4772.283012;Fully Paid
11026;9600; 36 months;11.99%;318.82;5 years;MORTGAGE;65000;debt_consolidation;Lower APR;SC;0;11722; 0.523 ;11277.22718;Fully Paid
11028;9600; 36 months;10.99%;314.25;3 years;RENT;83000;debt_consolidation;Credit Card Payoff;HI;0;10842; 0.691 ;11161.73052;Fully Paid
11030;16000; 60 months;12.99%;363.97;< 1 year;MORTGAGE;55000;debt_consolidation;Credit Cards Loan;IL;0;28198; 0.895 ;21837.98;Fully Paid
11031;3000; 36 months;11.49%;98.92;4 years;RENT;23000;moving;Moving;NY;0;1614; 0.148 ;3136.839164;Fully Paid
11034;13000; 60 months;17.49%;326.52;8 years;MORTGAGE;65000;debt_consolidation;Debt Consolidation Loan;GA;1;2129; 0.361 ;14283.34503;Fully Paid
11035;30600; 60 months;18.39%;783.55;10+ years;MORTGAGE;90000;;;;;;;;Fully Paid
11036;1700; 36 months;10.59%;55.33;< 1 year;RENT;50000;debt_consolidation;Personal;CO;0;30090; 0.525 ;331.98;Charged Off
11037;10625; 36 months;14.79%;367.23;10+ years;RENT;34000;credit_card;Credit card;CA;0;9742; 0.894 ;13220.16316;Fully Paid
11038;3200; 36 months;14.79%;110.61;< 1 year;RENT;23040;credit_card;Credit Card Refinance Loan;FL;0;1671; 0.050 ;3522.465143;Fully Paid
11039;35000; 60 months;19.29%;913.52;10+ years;MORTGAGE;143000;debt_consolidation;Debt Consolidation Loan;CT;0;47608; 0.804 ;54111.73995;Fully Paid
11040;6500; 36 months;5.42%;196.04;n/a;OWN;38000;debt_consolidation;Pay off;MN;0;7509; 0.115 ;6529.83;Fully Paid
11042;5000; 36 months;8.49%;157.82;5 years;OWN;75000;major_purchase;Scout;FL;0;3648; 0.410 ;5664.827939;Fully Paid
11043;3250; 60 months;16.49%;79.89;10+ years;RENT;58000;debt_consolidation;Credit Card Debt;OH;1;4047; 0.623 ;4592.840001;Fully Paid
11044;24000; 60 months;19.69%;631.73;1 year;MORTGAGE;82000;debt_consolidation;Credit Card debt;TX;0;25212; 0.920 ;24783.76274;Fully Paid
11045;20000; 60 months;11.99%;444.79;10+ years;MORTGAGE;54000;debt_consolidation;Consolidation Today;IL;0;26424; 0.332 ;26077.50064;Fully Paid
11046;4000; 36 months;5.42%;120.64;1 year;MORTGAGE;80208;credit_card;Credit Card Loan;MA;0;8530; 0.175 ;4343.013754;Fully Paid
11047;2500; 36 months;9.99%;80.66;10+ years;MORTGAGE;54600;other;other;NV;0;10524; 0.260 ;2779.481548;Fully Paid
11050;3600; 36 months;5.42%;108.58;5 years;RENT;40000;wedding;Wedding Ring and Honeymoon;WI;0;1873; 0.243 ;3908.700391;Fully Paid
11052;3200; 36 months;10.99%;104.75;3 years;RENT;84000;major_purchase;Personal;CA;0;422; 0.281 ;1401.28;Charged Off
11053;6000; 36 months;17.99%;216.89;1 year;RENT;30000;debt_consolidation;Debt Consolidation Loan;NH;1;1153; 0.312 ;7639.930199;Fully Paid
11055;4800; 36 months;5.42%;144.77;1 year;RENT;45000;credit_card;Credit Card Refi;OH;0;1608; 0.131 ;5211.61051;Fully Paid
11056;10000; 36 months;7.49%;311.02;10+ years;MORTGAGE;55000;major_purchase;RV LOAN;MA;0;3364; 0.086 ;11196.56943;Fully Paid
11058;8400; 36 months;13.49%;285.02;5 years;MORTGAGE;42996;debt_consolidation;Debt Consolidation Loan;GA;0;3412; 0.758 ;10260.53429;Fully Paid
11059;15000; 36 months;7.49%;466.53;4 years;MORTGAGE;139500;debt_consolidation;Debt Reduction;MD;0;54847; 0.339 ;16794.85414;Fully Paid
11060;8000; 36 months;5.99%;225.85;6 years;RENT;30000;small_business;Business Loan;CT;0;21019; 0.420 ;7768.895193;Fully Paid
11063;16425; 60 months;13.99%;382.1;< 1 year;MORTGAGE;70000;debt_consolidation;seven down two to go;MI;0;31204; 0.796 ;22708.40998;Fully Paid
11065;20000; 60 months;17.99%;507.76;6 years;OWN;37200;debt_consolidation;Debt Consolidation;AZ;0;20372; 0.738 ;30311.91;Fully Paid
11067;5400; 36 months;11.49%;178.05;3 years;RENT;24000;debt_consolidation;Debt Consolidation;PA;0;5246; 0.410 ;6400.886024;Fully Paid
11069;12000; 36 months;5.99%;365.01;10+ years;MORTGAGE;115000;debt_consolidation;Debt Consolidation Loan;FL;0;10411; 0.132 ;13122.27704;Fully Paid
11070;15500; 36 months;11.99%;514.75;2 years;MORTGAGE;200000;credit_card;Credit Card refinance from 20+%;VA;0;5150; 0.241 ;18530.90413;Fully Paid
11071;6275; 60 months;13.49%;144.36;2 years;RENT;60000;car;New Car;MA;0;9040; 0.322 ;7990.575621;Fully Paid
11072;8000; 36 months;5.99%;243.34;7 years;RENT;48000;wedding;ring;NY;0;3794; 0.294 ;8760.210626;Fully Paid
11074;6300; 36 months;11.99%;209.23;5 years;OWN;28000;home_improvement;Home Improvement;TX;0;7242; 0.619 ;7525.671295;Fully Paid
11076;8000; 36 months;15.62%;279.76;4 years;MORTGAGE;37700;other;need loan;OH;0;10889; 0.999 ;10071.25593;Fully Paid
11077;7000; 36 months;10.99%;229.14;7 years;MORTGAGE;26000;debt_consolidation;Debt Consolidation Loan;WI;0;10775; 0.553 ;8206.57897;Fully Paid
11078;25000; 60 months;14.79%;592;10+ years;MORTGAGE;69600;;;;;;;;Fully Paid
11079;7500; 36 months;15.23%;260.84;5 years;RENT;37000;debt_consolidation;Consolidate;NV;0;2388; 0.682 ;9390.036157;Fully Paid
11080;22600; 60 months;22.11%;625.61;5 years;RENT;96500;small_business;Bussiness;CA;0;22781; 0.721 ;1017;Charged Off
11081;10000; 36 months;7.49%;311.02;10+ years;MORTGAGE;62000;debt_consolidation;TRIUMPH ROCKET;KY;0;20823; 0.312 ;11196.56943;Fully Paid
11082;7000; 36 months;12.99%;235.83;2 years;MORTGAGE;50000;credit_card;Credit Card Loan;FL;0;10011; 0.439 ;1555.85;Charged Off
11083;5000; 36 months;6.99%;154.37;5 years;RENT;32000;small_business;Small Business Loan;CA;0;15465; 0.422 ;5556.13325;Fully Paid
11084;4800; 36 months;12.99%;161.71;10+ years;RENT;29000;;;;;;;;Fully Paid
11085;18825; 60 months;17.99%;477.93;n/a;OWN;39120;home_improvement;Home Improvement Loan;CA;3;13256; 0.265 ;19595.13;Charged Off
